number,group,S,V,Wd,Ww,W0d,W1d,W3d,W7d,W14d
1,A0,12.5,11.5211,19.05,21.6111,22.243,21.2288,20.4912,20.1139,19.9805
2,A0,12.5,10.2865,16.81,19.2065,19.8358,18.7171,18.0717,17.797,17.7251
3,A0,12.5,9.1811,14.93,16.9911,17.5969,16.3824,15.8086,15.6253,15.6021
4,A0,12.5,10.0337,16.73,18.8337,19.4306,18.2942,17.7194,17.4952,17.4294
5,A1,12.5,10.0466,16.77,18.9566,19.5031,18.5834,17.929,17.6563,17.5578
6,A1,12.5,11.4145,18.65,21.2345,21.8578,20.8514,19.9313,19.6099,19.5138
7,A1,12.5,10.4454,17.66,19.7354,20.3309,19.5054,18.7833,18.454,18.3397
8,A1,12.5,10.101,16.95,19.001,19.5063,18.5941,17.8632,17.595,17.5409
9,A2,12.5,11.7946,20.1,22.3046,22.9274,22.3567,21.822,21.3894,21.1102
10,A2,12.5,12.4677,21.06,23.5777,24.2445,23.7064,23.1149,22.6429,22.3143
11,A2,12.5,11.7484,19.68,22.1284,22.7917,22.3241,21.692,21.1737,20.8645
12,A2,12.5,11.9257,20.25,22.6457,23.3191,22.8675,22.3666,21.798,21.4574
13,A3,12.5,10.2582,16.77,18.9882,19.5864,18.9772,18.0527,17.5906,17.453
14,A3,12.5,11.5196,18.75,21.4596,22.0789,21.4785,20.4087,19.958,19.7924
15,A3,12.5,10.9193,18.37,20.5193,21.1503,20.6187,19.8162,19.3105,19.1331
16,A3,12.5,11.035,18.4,20.785,21.3418,20.8097,19.9481,19.4586,19.2879
17,A4,12.5,12.1215,20.06,22.7715,23.4846,22.9321,22.2274,21.6956,21.3791
18,A4,12.5,11.0144,18.37,20.7944,21.4174,21.0434,20.619,20.1305,19.7528
19,A4,12.5,13.332,22.41,25.122,25.7947,25.2023,24.3609,23.6763,23.3924
20,A4,12.5,11.5659,19.52,21.8759,22.5377,22.0608,21.3076,20.7163,20.4599
21,B0,12.5,10.4929,17.51,19.7829,20.3359,19.3917,18.6567,18.3916,18.3116
22,B0,12.5,11.9655,19.62,22.3455,22.9345,22.299,21.1217,20.6875,20.5413
23,B0,12.5,9.8701,16.25,18.4901,19.0521,17.8389,17.3001,17.1082,17.0627
24,B0,12.5,10.9373,18.34,20.5873,21.1487,20.0348,19.3751,19.1341,19.0685
25,B1,12.5,10.9903,18.17,20.6403,21.2822,20.7527,19.7338,19.2968,19.1516
26,B1,12.5,10.3475,17.12,19.4075,20.0679,19.5059,18.6086,18.1767,18.0193
27,B1,12.5,12.0751,20.58,22.7551,23.4428,22.7042,21.7442,21.3155,21.1667
28,B1,12.5,11.3567,18.6,21.0667,21.7452,20.6414,19.7705,19.4611,19.3677
29,B2,12.5,9.063,15.63,17.283,17.8767,17.2604,16.7511,16.4779,16.3936
30,B2,12.5,10.8143,17.96,20.2143,20.8772,20.1257,19.4032,19.0085,18.8559
31,B2,12.5,11.7785,20.21,22.2785,22.9637,22.3315,21.6205,21.1378,20.9441
32,B2,12.5,11.3203,19.08,21.3903,22.0727,21.3649,20.7192,20.2919,20.1096
33,B3,12.5,12.1889,20.92,23.1289,23.8054,22.9097,22.0376,21.6969,21.5602
34,B3,12.5,10.7335,18.15,20.1835,20.8434,19.9137,19.1692,18.8851,18.7958
35,B3,12.5,10.3021,17.45,19.4221,20.0759,19.4761,18.5707,18.2619,18.1717
36,B3,12.5,12.3693,20.75,23.2793,23.9809,23.3878,22.4195,21.877,21.6705
37,B4,12.5,12.6764,21.06,23.7564,24.3826,23.6542,22.5163,22.1189,21.941
38,B4,12.5,11.0875,18.86,20.9975,21.5838,20.4944,19.8713,19.5931,19.5042
39,B4,12.5,11.4066,19.48,21.5366,22.1445,21.0636,20.3939,20.0933,20.0022
40,B4,12.5,11.5747,19.07,21.5547,22.206,21.3566,20.2853,19.9219,19.7963